AssemblyAccession	AssemblyName	Organism	SpeciesTaxid	BioSampleAccn	ContigN50	Coverage	Strain	Pathovar	Owner	Link
GCF_000738125.1	ASM73812v1	Pectobacterium brasiliense (enterobacteria)	180957	SAMN02947974	93179	37	CFIA1033		Canadian Food Inspection Agency	
GCF_000740965.1	ASM74096v1	Pectobacterium atrosepticum (enterobacteria)	29471	SAMN02983234	4991806	268	21A		Belarus State University	
GCF_000749845.1	ASM74984v1	Pectobacterium betavasculorum (enterobacteria)	55207	SAMN02999474	472932	40	NCPPB 2795		Food and Environment Research Agency	
GCF_000749855.1	ASM74985v1	Pectobacterium carotovorum subsp. carotovorum (enterobacteria)	554	SAMN02999421	547054	49	NCPPB 312		Food and Environment Research Agency	
GCF_000749865.1	ASM74986v1	Pectobacterium wasabiae (enterobacteria)	55208	SAMN02999477	355840	50	NCPPB 3701		Food and Environment Research Agency	
GCF_000749905.1	ASM74990v1	Pectobacterium atrosepticum (enterobacteria)	29471	SAMN02999423	395607	107	NCPPB 549		Food and Environment Research Agency	
GCF_000749915.1	ASM74991v1	Pectobacterium parvum (enterobacteria)	2778550	SAMN02999475	170558	60	NCPPB 3395		Food and Environment Research Agency	
GCF_000749925.1	ASM74992v1	Pectobacterium betavasculorum (enterobacteria)	55207	SAMN02999424	301654	30	NCPPB 2793		Food and Environment Research Agency	
GCF_000749965.1	ASM74996v1	Pectobacterium atrosepticum (enterobacteria)	29471	SAMN02999476	564685	60	NCPPB 3404		Food and Environment Research Agency	
GCF_000754685.1	ASM75468v1	Pectobacterium wasabiae (enterobacteria)	55208	SAMN03010635	465249	40	NCPPB 3702		Food and Environment Research Agency	
GCF_000754695.1	ASM75469v1	Pectobacterium brasiliense (enterobacteria)	180957	SAMN03010639	514700	60	LMG 21371		Food and Environment Research Agency	
GCF_000754705.1	ASM75470v1	Pectobacterium brasiliense (enterobacteria)	180957	SAMN03010640	1055512	47	LMG 21372		Food and Environment Research Agency	
GCF_000754715.1	ASM75471v1	Pectobacterium odoriferum (enterobacteria)	78398	SAMN03010638	238674	40	NCPPB 3841		Food and Environment Research Agency	
GCF_000754765.1	ASM75476v1	Pectobacterium odoriferum (enterobacteria)	78398	SAMN03010636	278770	50	NCPPB 3839		Food and Environment Research Agency	
GCF_000757625.1	PecWasRNS_1.0	Pectobacterium parmentieri (enterobacteria)	1905730	SAMN02729843	448690	350	RNS 08-42-1A		CNRS - UPR2355	
GCF_000769535.1	ASM76953v1	Pectobacterium odoriferum (enterobacteria)	78398	SAMN03098274	4933575	137	BC S7		Beijing Agro-Biotechnology Research Center	
GCF_000803215.1	ASM80321v1	Pectobacterium fontis (enterobacteria)	2558042	SAMN03154070	126203	53.3	M022		University of Malaya	
GCF_000803315.1	ASM80331v1	Pectobacterium actinidiae (enterobacteria)	1507808	SAMN02849387	4068673	2746	KKH3		National Academy of Agricultural Science	252053
GCF_000808115.1	ASM80811v1	Pectobacterium brasiliense (enterobacteria)	180957	SAMN03220250	230573	100	Y49		Beijing Academy of Agriculture and Forestry Sciences	
GCF_000808145.1	ASM80814v1	Pectobacterium brasiliense (enterobacteria)	180957	SAMN03252595	816391	100	Y62		Beijing Academy of Agriculture and Forestry Sciences	
GCF_000808195.1	ASM80819v1	Pectobacterium brasiliense (enterobacteria)	180957	SAMN03252598	400834	100	Y64		Beijing Academy of Agriculture and Forestry Sciences	
GCF_000808215.1	ASM80821v1	Pectobacterium carotovorum subsp. carotovorum (enterobacteria)	554	SAMN03252600	307303	100	Y57		Beijing Academy of Agriculture and Forestry Sciences	
GCF_000808235.1	ASM80823v1	Pectobacterium brasiliense (enterobacteria)	180957	SAMN03252605	385890	100	Y21		Beijing Academy of Agriculture and Forestry Sciences	
GCF_000808245.1	ASM80824v1	Pectobacterium brasiliense (enterobacteria)	180957	SAMN03252606	262727	100	Y29		Beijing Academy of Agriculture and Forestry Sciences	
GCF_000808255.1	ASM80825v1	Pectobacterium brasiliense (enterobacteria)	180957	SAMN03252603	263813	100	Y46		Beijing Academy of Agriculture and Forestry Sciences	
GCF_000808295.1	ASM80829v1	Pectobacterium brasiliense (enterobacteria)	180957	SAMN03252607	815405	100	Y31		Beijing Academy of Agriculture and Forestry Sciences	
GCF_000808315.1	ASM80831v1	Pectobacterium brasiliense (enterobacteria)	180957	SAMN03252608	678245	100	Y3		Beijing Academy of Agriculture and Forestry Sciences	
GCF_000808335.1	ASM80833v1	Pectobacterium brasiliense (enterobacteria)	180957	SAMN03252609	239237	100	Y65		Beijing Academy of Agriculture and Forestry Sciences	
GCF_000808355.1	ASM80835v1	Pectobacterium brasiliense (enterobacteria)	180957	SAMN03252622	241166	100	B6		Beijing Academy of Agriculture and Forestry Sciences	
GCF_000808375.1	ASM80837v1	Pectobacterium brasiliense (enterobacteria)	180957	SAMN03252599	234442	100	S2		Beijing Academy of Agriculture and Forestry Sciences	
GCF_000808385.1	ASM80838v1	Pectobacterium brasiliense (enterobacteria)	180957	SAMN03252594	429995	100	Y52		Beijing Academy of Agriculture and Forestry Sciences	
GCF_000808415.1	ASM80841v1	Pectobacterium parvum (enterobacteria)	2778550	SAMN03252604	245154	100	Y1		Beijing Academy of Agriculture and Forestry Sciences	
GCF_000808435.1	ASM80843v1	Pectobacterium carotovorum subsp. carotovorum (enterobacteria)	554	SAMN03252616	272417	100	Y16		Beijing Academy of Agriculture and Forestry Sciences	
GCF_000808455.1	ASM80845v1	Pectobacterium brasiliense (enterobacteria)	180957	SAMN03252617	375495	100	Y60		Beijing Academy of Agriculture and Forestry Sciences	
GCF_000808475.1	ASM80847v1	Pectobacterium carotovorum subsp. carotovorum (enterobacteria)	554	SAMN03252618	839338	100	Y39		Beijing Academy of Agriculture and Forestry Sciences	
GCF_000808495.1	ASM80849v1	Pectobacterium carotovorum subsp. carotovorum (enterobacteria)	554	SAMN03252619	605830	100	B2		Beijing Academy of Agriculture and Forestry Sciences	
GCF_000808515.1	ASM80851v1	Pectobacterium carotovorum subsp. carotovorum (enterobacteria)	554	SAMN03252620	1446736	100	B5		Beijing Academy of Agriculture and Forestry Sciences	
GCF_001038675.1	ASM103867v1	Pectobacterium brasiliense ICMP 19477 (enterobacteria)	180957	SAMN03780057	1120187	50	ICMP 19477		The New Zealand Institute of Plant & Food Research, Bioprotection	72121
GCF_001038685.1	ASM103868v1	Pectobacterium atrosepticum ICMP 1526 (enterobacteria)	29471	SAMN03780058	797800	40	ICMP 1526		Plant and Food Research, Canterbury Agriculture and Science Center, Bio-Protection	72123
GCF_001039055.1	ASM103905v1	Pectobacterium carotovorum subsp. carotovorum ICMP 5702 (enterobacteria)	554	SAMN03782483	448171	200	ICMP 5702		Lincoln University	183435
GCF_001039065.1	ASM103906v1	Pectobacterium peruviense (enterobacteria)	2066479	SAMN03782482	307291	200	UGC32		Lincoln University	183436
GCF_001238575.1	ASM123857v1	Pectobacterium brasiliense (enterobacteria)	180957	SAMN03835252	1001875	117	BD255		University of South Africa	
GCF_001429565.2	ASM142956v2	Pectobacterium brasiliense (enterobacteria)	180957	SAMN04127569	404385	386	PcbHPI01		University of Pretoria	
GCF_001742145.1	ASM174214v1	Pectobacterium parmentieri (enterobacteria)	1905730	SAMN02729843	5030841	150	RNS 08-42-1A		CNRS - UPR2355	
GCF_001742185.1	ASM174218v1	Pectobacterium wasabiae CFBP 3304 (enterobacteria)	55208	SAMN04915576	5043228	150	CFBP 3304		Institute for integrative biology of the cell	
GCF_001932635.1	ASM193263v1	Pectobacterium brasiliense (enterobacteria)	180957	SAMN03104805	4920350	335	BC1		Institute of Crop Sciences, Chinese Academy of Agricultural Science	263220
GCF_001984525.1	ASM198452v1	Pectobacterium actinidiae (enterobacteria)	1507808	SAMN06049671	143499	40	ICMP 9972		Plant & Food Research	
GCF_001984535.1	ASM198453v1	Pectobacterium actinidiae (enterobacteria)	1507808	SAMN06049670	81179	40	ICMP 19971		Scion	
GCF_002068115.1	ASM206811v1	Pectobacterium brasiliense (enterobacteria)	180957	SAMN06605957	4966299	90.89	SX309		Chinese Academy of Agricultural Sciences	
GCF_002250215.2	ASM225021v2	Pectobacterium brasiliense (enterobacteria)	180957	SAMN06684311	106099	58	BF20		Biotechnology Institute of UNAM	
GCF_002250255.2	ASM225025v2	Pectobacterium brasiliense (enterobacteria)	180957	SAMN06684312	115742	56	BF45		Biotechnology Institute of UNAM	
GCF_002288545.1	ASM228854v1	Pectobacterium polaris (enterobacteria)	2042057	SAMN05853907	5008416		NIBIO1392		NIBIO	
GCF_002307355.1	ASM230735v1	Pectobacterium polaris (enterobacteria)	2042057	SAMN05853691	4826824		NIBIO1006		NIBIO	
GCF_002764035.1	ASM276403v1	Pectobacterium brasiliense (enterobacteria)	180957	SAMN07961732	4924809	210	BZA12		Shenyang Agricultural University	416681
GCF_002804265.1	ASM280426v1	Pectobacterium atrosepticum (enterobacteria)	29471	SAMN08041542	4965575	458	36A		Belarusian State University	419060
GCF_002847345.1	ASM284734v1	Pectobacterium peruviense (enterobacteria)	2066479	SAMN04526254	199701	53	IFB5232		University of Gdansk	313959
GCF_002847355.1	ASM284735v1	Pectobacterium peruviense (enterobacteria)	2066479	SAMN04526230	224651	35	IFB5229		University of Gdansk	313958
GCF_002869945.1	ASM286994v1	Pectobacterium carotovorum (enterobacteria)	554	SAMN08159913	158729	64.18	F164		Institute of Bioorganic Chemistry	400696
GCF_002904005.1	ASM290400v1	Pectobacterium odoriferum (enterobacteria)	78398	SAMN06205152	222532	124	Q3		Beijing Academy of Agriculture and Forestry Sciences	
GCF_002904025.1	ASM290402v1	Pectobacterium odoriferum (enterobacteria)	78398	SAMN06205229	168533	126.93	Q40		Beijing Academy of Agriculture and Forestry Sciences	
GCF_002904045.1	ASM290404v1	Pectobacterium odoriferum (enterobacteria)	78398	SAMN06205240	242905	117.251	Q32		Beijing Academy of Agriculture and Forestry Sciences	
GCF_002904055.1	ASM290405v1	Pectobacterium odoriferum (enterobacteria)	78398	SAMN06205241	224535	96	Q47		Beijing Academy of Agriculture and Forestry Sciences	
GCF_002904085.1	ASM290408v1	Pectobacterium odoriferum (enterobacteria)	78398	SAMN06205303	264533	116	Q106		Beijing Academy of Agriculture and Forestry Sciences	
GCF_002904105.1	ASM290410v1	Pectobacterium odoriferum (enterobacteria)	78398	SAMN06205304	207921	114	Q115		Beijing Academy of Agriculture and Forestry Sciences	
GCF_002904125.1	ASM290412v1	Pectobacterium odoriferum (enterobacteria)	78398	SAMN06205363	283031	119.99	S6-2		Beijing Academy of Agriculture and Forestry Sciences	
GCF_002904145.1	ASM290414v1	Pectobacterium odoriferum (enterobacteria)	78398	SAMN06205364	239444	112.616	T4		Beijing Academy of Agriculture and Forestry Sciences	
GCF_002904185.1	ASM290418v1	Pectobacterium odoriferum (enterobacteria)	78398	SAMN06205365	232251	133	Q142		Beijing Academy of Agriculture and Forestry Sciences	
GCF_002904195.1	ASM290419v1	Pectobacterium odoriferum (enterobacteria)	78398	SAMN06205368	232238	117	Q166		Beijing Academy of Agriculture and Forestry Sciences	
GCF_002904225.1	ASM290422v1	Pectobacterium odoriferum (enterobacteria)	78398	SAMN06209135	251357	130.203	S6		Beijing Academy of Agriculture and Forestry Sciences	
GCF_002904255.1	ASM290425v1	Pectobacterium odoriferum (enterobacteria)	78398	SAMN06209134	254985	94	T5		Beijing Academy of Agriculture and Forestry Sciences	
GCF_002920025.1	ASM292002v1	Pectobacterium atrosepticum (enterobacteria)	29471	SAMN07572936	238550	66	PB72		Institute of Bioorganic Chemistry	400696
GCF_002920045.2	ASM292004v2	Pectobacterium parmentieri (enterobacteria)	1905730	SAMN07572933	4847736	20	PB20		Institute of Bioorganic Chemistry	400696
GCF_002921205.1	ASM292120v1	Pectobacterium versatile (enterobacteria)	2488639	SAMN07811812	456866	58	F018		Phytoengineering R&D Centre, LLC	
GCF_002921235.2	ASM292123v2	Pectobacterium versatile (enterobacteria)	2488639	SAMN07815818	4839711	50	F131		Phytoengineering R&D Centre, LLC	
GCF_002921275.1	ASM292127v1	Pectobacterium versatile (enterobacteria)	2488639	SAMN07816133	145253	53	F135		Phytoengineering R&D Centre, LLC	415106
GCF_002921285.1	ASM292128v1	Pectobacterium versatile (enterobacteria)	2488639	SAMN07816141	999290	44	PB69		Phytoengineering R&D Centre, LLC	415106
GCF_002921295.1	ASM292129v1	Pectobacterium versatile (enterobacteria)	2488639	SAMN07816145	457866	44	PB70		Phytoengineering R&D Centre, LLC	415106
GCF_002930535.1	ASM293053v1	Pectobacterium brasiliense (enterobacteria)	180957	SAMN08141583	477849	119.41	F157		Institute of Bioorganic Chemistry	400696
GCF_002930555.1	ASM293055v1	Pectobacterium brasiliense (enterobacteria)	180957	SAMN08141585	174410	54.34	F152		Institute of Bioorganic Chemistry	400696
GCF_002983505.1	ASM298350v1	Pectobacterium versatile (enterobacteria)	2488639	SAMN06285190	856905	277	Ecc71		Tennessee State University	369272
GCF_003028395.1	ASM302839v1	Pectobacterium punjabense (enterobacteria)	2108399	SAMN08626519	116258	72	SS95		University of Agriculture Faisalabad	
GCF_003031305.1	ASM303130v1	Pectobacterium versatile (enterobacteria)	2488639	SAMN03144687	4975878	300	3-2		Belarus State University	
GCF_003096475.1	ASM309647v1	Pectobacterium versatile (enterobacteria)	2488639	SAMN08769269	5023534	159	WS2152		DOE Joint Genome Institute	https://gold.jgi.doe.gov/projects?id=Gp0252077 439740
GCF_003121725.1	ASM312172v1	Pectobacterium atrosepticum (enterobacteria)	29471	SAMN08979055	90297	36	SS26		University of Agriculture Faisalabad	
GCF_003121735.1	ASM312173v1	Pectobacterium polaris (enterobacteria)	2042057	SAMN08979056	243038	56	SS28		University of Agriculture Faisalabad	
GCF_003121765.1	ASM312176v1	Pectobacterium versatile (enterobacteria)	2488639	SAMN08979058	211427	60	SS96		University of Agriculture Faisalabad	
GCF_003121785.1	ASM312178v1	Pectobacterium parmentieri (enterobacteria)	1905730	SAMN08979057	176176	64	SS90		University of Agriculture Faisalabad	
GCF_003186045.1	ASM318604v1	Pectobacterium carotovorum subsp. carotovorum (enterobacteria)	554	SAMN09280259	220041	67	ATCC 39048		University of Cambridge	473645
GCF_003312345.1	ASM331234v1	Pectobacterium peruviense (enterobacteria)	2066479	SAMN08798619	111906	331	A97-S13-F16		Sorbonne University	
GCF_003312355.2	ASM331235v2	Pectobacterium peruviense (enterobacteria)	2066479	SAMN08798632	4946471	86	A350-S18-N16		Sorbonne University	445781
GCF_003382565.3	ASM338256v3	Pectobacterium aquaticum (enterobacteria)	2204145	SAMN09259578	4464425	101	A212-S19-A16		Sorbonne University	473080
GCF_003382585.2	ASM338258v2	Pectobacterium aquaticum (enterobacteria)	2204145	SAMN09259576	103487	167	A105-S21-F16		Sorbonne University	473080
GCF_003382595.2	ASM338259v2	Pectobacterium aquaticum (enterobacteria)	2204145	SAMN09259575	72817	180	A104-S21-F16		Sorbonne University	473080
GCF_003382625.3	ASM338262v3	Pectobacterium aquaticum (enterobacteria)	2204145	SAMN09259574	4371146	175	A101-S19-F16		Sorbonne University	473080
GCF_003382645.2	ASM338264v2	Pectobacterium aquaticum (enterobacteria)	2204145	SAMN09259573	85652	102	A35-S23-M15		Sorbonne University	473080
GCF_003382655.2	ASM338265v2	Pectobacterium aquaticum (enterobacteria)	2204145	SAMN09259577	60872	60	A127-S21-F16		Sorbonne University	473080
GCF_003402555.1	Sfl_assembly01	Pectobacterium versatile (enterobacteria)	2488639	SAMD00119560	144435	60	RMIT1		Biomedicine Discovery Institute, Monash University	474847
GCF_003571485.1	ASM357148v1	Pectobacterium versatile (enterobacteria)	2488639	SAMN06621608	3680778	40	SCC1		University of Helsinki	379819
GCF_003594975.1	ASM359497v1	Pectobacterium carotovorum (enterobacteria)	554	SAMN10059736	139665	467.56	S4.16.03.1C		Institute for integrative biology of the cell	490624
GCF_003594995.1	ASM359499v1	Pectobacterium versatile (enterobacteria)	2488639	SAMN10059732	89731	143.11	S4.16.03.3F		Institute for integrative biology of the cell	490624
GCF_003595035.1	ASM359503v1	Pectobacterium polaris (enterobacteria)	2042057	SAMN10059739	155865	41.2	S4.16.03.2B		Institute for integrative biology of the cell	490624
GCF_003595055.1	ASM359505v1	Pectobacterium carotovorum (enterobacteria)	554	SAMN10059737	99392	420.18	S1.15.11.2D		Institute for integrative biology of the cell	490624
GCF_003595065.1	ASM359506v1	Pectobacterium versatile (enterobacteria)	2488639	SAMN10059734	82620	246.55	S4.16.03.3I		Institute for integrative biology of the cell	490624
GCF_003595115.1	ASM359511v1	Pectobacterium carotovorum (enterobacteria)	554	SAMN10059738	146844	410.19	S1.16.01.3K		Institute for integrative biology of the cell	490624
GCF_003595125.1	ASM359512v1	Pectobacterium carotovorum (enterobacteria)	554	SAMN10059735	255206	55.87	S1-A16		Institute for integrative biology of the cell	490624
GCF_003595135.1	ASM359513v1	Pectobacterium versatile (enterobacteria)	2488639	SAMN10059733	90195	237.85	S4.16.03.3K		Institute for integrative biology of the cell	490624
GCF_003628015.1	ASM362801v1	Pectobacterium parmentieri (enterobacteria)	1905730	SAMN08494010	4422084	493	IFB5626		University of Gdansk, Intercollegiate Faculty of Biotechnology UG&MUG	433470
GCF_003628025.1	ASM362802v1	Pectobacterium parmentieri (enterobacteria)	1905730	SAMN08494005	1593647	548	IFB5597		University of Gdansk, Intercollegiate Faculty of Biotechnology UG&MUG	433470
GCF_003628575.1	ASM362857v1	Pectobacterium parmentieri (enterobacteria)	1905730	SAMN08493999	5022017	100	IFB5408		University of Gdansk, Intercollegiate Faculty of Biotechnology UG&MUG	433470
GCF_003628595.1	ASM362859v1	Pectobacterium parmentieri (enterobacteria)	1905730	SAMN08494003	4885249	145	IFB5485		University of Gdansk, Intercollegiate Faculty of Biotechnology UG&MUG	433470
GCF_003628615.1	ASM362861v1	Pectobacterium parmentieri (enterobacteria)	1905730	SAMN08494009	4610123	545	IFB5623		University of Gdansk, Intercollegiate Faculty of Biotechnology UG&MUG	433470
GCF_003628635.1	ASM362863v1	Pectobacterium parmentieri (enterobacteria)	1905730	SAMN08494001	5010533	152	IFB5432		University of Gdansk, Intercollegiate Faculty of Biotechnology UG&MUG	433470
GCF_003628655.1	ASM362865v1	Pectobacterium parmentieri (enterobacteria)	1905730	SAMN08494002	5082177	126	IFB5441		University of Gdansk, Intercollegiate Faculty of Biotechnology UG&MUG	433470
GCF_003628675.1	ASM362867v1	Pectobacterium parmentieri (enterobacteria)	1905730	SAMN08494004	5038122	118	IFB5486		University of Gdansk, Intercollegiate Faculty of Biotechnology UG&MUG	433470
GCF_003628695.1	ASM362869v1	Pectobacterium parmentieri (enterobacteria)	1905730	SAMN08494006	4877201	407	IFB5604		University of Gdansk, Intercollegiate Faculty of Biotechnology UG&MUG	433470
GCF_003628715.1	ASM362871v1	Pectobacterium parmentieri (enterobacteria)	1905730	SAMN08494007	3823946	496	IFB5605		University of Gdansk, Intercollegiate Faculty of Biotechnology UG&MUG	433470
GCF_003628735.1	ASM362873v1	Pectobacterium parmentieri (enterobacteria)	1905730	SAMN08494008	4959302	475	IFB5619		University of Gdansk, Intercollegiate Faculty of Biotechnology UG&MUG	433470
GCF_003800545.1	ASM380054v1	Pectobacterium atrosepticum (enterobacteria)	29471	SAMN10450690	1156993	200	HAI2-SCRI1043		Lincoln University / Plant and food research, Bio-protection Center	185466
GCF_003932035.1	ASM393203v1	Pectobacterium versatile (enterobacteria)	2488639	SAMN10505120	4997114	220	14A		Belarusian State University	
GCF_003990505.1	ASM399050v1	Pectobacterium versatile (enterobacteria)	2488639	SAMN10496971	207595	149	F16		Institute of Bioorganic Chemistry	421661
GCF_003990515.2	ASM399051v2	Pectobacterium brasiliense (enterobacteria)	180957	SAMN10496967	5052362	113	F126		Institute of Bioorganic Chemistry	400696
GCF_003990525.1	ASM399052v1	Pectobacterium polaris (enterobacteria)	2042057	SAMN10496976	195318	67	F109		Institute of Bioorganic Chemistry	421661
GCF_003992745.1	ASM399274v1	Pectobacterium parmentieri (enterobacteria)	1905730	SAMN08494000	5125304	75	IFB5427		University of Gdansk, Intercollegiate Faculty of Biotechnology UG&MUG	433470
GCF_004137785.1	ASM413778v1	Pectobacterium zantedeschiae (enterobacteria)	2034769	SAMN08985456	595025	200	PC2		University of Gdansk	
GCF_004137795.1	ASM413779v1	Pectobacterium zantedeschiae (enterobacteria)	2034769	SAMN07621197	919187	50	9M		University of Gdansk	402003
GCF_004137815.1	ASM413781v1	Pectobacterium zantedeschiae (enterobacteria)	2034769	SAMN07956336	626464	54	2M		University of Gdansk	416435
GCF_004296665.1	ASM429666v1	Pectobacterium versatile (enterobacteria)	2488639	SAMN10417479	235475	130	CFBP1552		Sorbonne University	505408
GCF_004296675.1	ASM429667v1	Pectobacterium versatile (enterobacteria)	2488639	SAMN10417475	81699	89	A75-S21-O15		Sorbonne University	505408
GCF_004296685.1	ASM429668v1	Pectobacterium versatile (enterobacteria)	2488639	SAMN10417481	74062	98	CFBP6051		Sorbonne University	505408
GCF_004296715.1	ASM429671v1	Pectobacterium versatile (enterobacteria)	2488639	SAMN10417472	162341	83	A67-S18-O15		Sorbonne University	505408
GCF_004296725.1	ASM429672v1	Pectobacterium versatile (enterobacteria)	2488639	SAMN10417473	151919	122	A69-S13-O15		Sorbonne University	505408
GCF_004296765.1	ASM429676v1	Pectobacterium versatile (enterobacteria)	2488639	SAMN10417480	220502	132	CFBP5663		Sorbonne University	505408
GCF_005497185.1	ASM549718v1	Pectobacterium polonicum (enterobacteria)	2485124	SAMN10345551	152229	105	DPMP315		University of Gdansk	501783
GCF_005771575.1	ASM577157v1	Pectobacterium carotovorum subsp. carotovorum (enterobacteria)	554	SAMN11658211	339669	50	LMG 2410		University of Glasgow	
GCF_007833835.1	ASM783383v1	Pectobacterium carotovorum subsp. carotovorum (enterobacteria)	554	SAMN10397597	4909724	107	67		South and Central University for Nationalities	
GCF_009873295.1	ASM987329v1	Pectobacterium brasiliense (enterobacteria)	180957	SAMN13779957	4851982	298	1692		Cornell University	599934
GCF_009931195.1	ASM993119v1	Pectobacterium carotovorum subsp. carotovorum (enterobacteria)	554	SAMN10475134	4853176	190	BP201601.1		Rural Development Administration	506867
GCF_009931215.1	ASM993121v1	Pectobacterium carotovorum subsp. carotovorum (enterobacteria)	554	SAMN10475143	4872902	240	JR1.1		Rural Development Administration	506868
GCF_009931295.1	ASM993129v1	Pectobacterium odoriferum (enterobacteria)	78398	SAMN10698425	4997932	176	JK2.1		Rural Development Administration	513207
GCF_009931535.1	ASM993153v1	Pectobacterium parmentieri (enterobacteria)	1905730	SAMN13381035	5208618	295	HC		Highland Agriculture Research Institute	
GCA_009931555.1	ASM993155v1	Pectobacterium brasiliense (enterobacteria)	180957	SAMN13381169	4724337	321	HNP201719		Highland Agriculture Research Institute	
GCF_009931575.1	ASM993157v1	Pectobacterium parvum (enterobacteria)	2778550	SAMN13381318	4994870	223	PZ1		Highland Agriculture Research Institute	
GCF_011378945.1	ASM1137894v1	Pectobacterium polaris (enterobacteria)	2042057	SAMN13642295	199229	100	WBC1		Beijing Academy of Agriculture and Forestry Sciences	
GCF_011378965.1	ASM1137896v1	Pectobacterium polaris (enterobacteria)	2042057	SAMN13642308	179622	100	WBC6		Beijing Academy of Agriculture and Forestry Sciences	
GCF_011378985.1	ASM1137898v1	Pectobacterium polaris (enterobacteria)	2042057	SAMN13642327	203871	100	WBC9		Beijing Academy of Agriculture and Forestry Sciences	
GCF_011379045.1	ASM1137904v1	Pectobacterium polaris (enterobacteria)	2042057	SAMN13648504	203753	100	WBC11		Beijing Academy of Agriculture and Forestry Sciences	
GCF_012427845.1	ASM1242784v1	Pectobacterium punjabense (enterobacteria)	2108399	SAMN11162174	4793778	155	SS95		Institute for integrative biology of the cell	527839
GCF_013449375.1	ASM1344937v1	Pectobacterium sp. CFBP8739 (enterobacteria)	2748908	SAMN15375419	212029	149	CFBP8739		Sorbonne University	639025
GCF_013449385.1	ASM1344938v1	Pectobacterium carotovorum (enterobacteria)	554	SAMN15374874	189429	177	CFBP1402		Sorbonne University	639025
GCF_013449395.1	ASM1344939v1	Pectobacterium carotovorum (enterobacteria)	554	SAMN15374892	280253	189	CFBP7347		Sorbonne University	639025
GCF_013449405.1	ASM1344940v1	Pectobacterium versatile (enterobacteria)	2488639	SAMN15375019	51811	180	CFBP1118		Sorbonne University	639025
GCF_013449415.1	ASM1344941v1	Pectobacterium carotovorum (enterobacteria)	554	SAMN15374769	211014	216	CFBP8734		Sorbonne University	639025
GCF_013449475.1	ASM1344947v1	Pectobacterium brasiliense (enterobacteria)	180957	SAMN15366395	122817	126	CFBP5381		Sorbonne University	639025
GCF_013449485.1	ASM1344948v1	Pectobacterium brasiliense (enterobacteria)	180957	SAMN15366239	221995	179	CFBP3230		Sorbonne University	639025
GCF_013449495.1	ASM1344949v1	Pectobacterium carotovorum (enterobacteria)	554	SAMN15374888	202394	156	CFBP6074		Sorbonne University	639025
GCF_013449535.1	ASM1344953v1	Pectobacterium brasiliense (enterobacteria)	180957	SAMN15366440	178378	143	CFBP7357		Sorbonne University	639025
GCF_013449605.1	ASM1344960v1	Pectobacterium versatile (enterobacteria)	2488639	SAMN15375402	96144	124	CFBP6698		Sorbonne University	639025
GCF_013449655.1	ASM1344965v1	Pectobacterium versatile (enterobacteria)	2488639	SAMN15375390	149999	150	CFBP5669		Sorbonne University	639025
GCF_013449675.1	ASM1344967v1	Pectobacterium versatile (enterobacteria)	2488639	SAMN15375090	209392	154	CFBP5378		Sorbonne University	639025
GCF_013449685.1	ASM1344968v1	Pectobacterium brasiliense (enterobacteria)	180957	SAMN15366227	89685	118	CFBP8736		Sorbonne University	639025
